id,status,evidence
TCI-PROD-016,Complete,"docs/Revealyst_Product_Spec_V4.md:72 (the wedge stays Engineering), :52 (role expansion beyond Engineering is Future); the seeded capability graph is a single 'engineering' domain (drizzle/0030_capability-graph.sql:55); roles seed engineering-only (drizzle/0026); tci.md:2167"
TCI-PROD-017,Partial,"The capability graph is a relational, extensible reference model (domains/capabilities/capability_signals) — architecturally role-agnostic (drizzle/0030_capability-graph.sql; CLAUDE.md P1); but the shipped UI/copy is engineering-shaped (companion-glossary, exec-report-copy) and no role-agnostic team product exists yet; tci.md:2169"
TCI-PROD-018,Complete,"Near-verbatim match to V4 NOT-list: docs/Revealyst_Product_Spec_V4.md:636-638 (no time-saved/ROI/AI-helps-hurts verdicts; no per-person quality/velocity scores), :655-660 (no leaderboards/XP/streaks), :621 (external benchmarks consent-volume-gated); TCI §6.8 'do not launch a single opaque AI Efficiency Score' and §6.5 'do not claim causal impact' align with the honesty invariants; tci.md:2171-2183"
TCI-PROD-019,Partial,"V4 already positions as the 'AI Growth Platform' with one-engine/three-read-lenses (docs/Revealyst_Product_Spec_V4.md:64-66, :85-86); the §17 value hierarchy (activity→behavior→skills→growth→team readiness→efficiency→business impact) matches V4's compounding model; BUT V4 is emphatic that team/exec intelligence is a by-product 'never as the pitch' (:64), whereas TCI foregrounds the manager as primary user (tci.md:5, 2287-2321)"
TCI-PROD-020,Complete,"Directly matches V4: docs/Revealyst_Product_Spec_V4.md:64-66 (individual signal compounds into team/exec), :117-119 (individual self-view is the foundation), :678 (Spend Governance is a line, not the value); tci.md:2319-2323"
TCI-PRIV-001,Partial,"src/db/schema/core.ts:197-199 defines org_members.role as enum ['admin','member'] only; src/lib/api-context.ts:64 threads ctx.role from that two-tier value. No 'manager' or 'executive' role or per-role scoping exists."
TCI-PRIV-002,Conflicting,src/db/org-scope/mastery.ts:6-15 states self-view enforcement: 'a manager cannot reach another person's mastery here'; ADR 0038 lines 37-39 confirm user_capability_state is structurally excluded from TeamVisibleView so it cannot leak; src/lib/visibility.ts:214-224 assertTeamOnlyPseudonymized enforces team-only-pseudonymized in private mode. CLAUDE.md: manager-facing per-person capability view is 'a major privacy-model change'.
TCI-PRIV-003,Conflicting,"src/app/(app)/dashboard/team-overview.tsx:145-153,249-368 shows cost only as team aggregate spend + count-only segments with MIN_PEOPLE floor; budgets are admin-configured governance data role-gated to admins (team-overview.tsx:69-93). No per-named-person spend table or manager cost read exists."
TCI-PRIV-004,Missing,"Grep for manager note / managerNote / manager_note across the repo returned no files. No such table, route, or component exists."
TCI-PRIV-005,Missing,src/app/(app)/settings/page.tsx:156-175 exposes only the org-level Visibility mode control (private/managed/full) and workspace/digest/roles cards; no per-concern cost-visibility toggle exists.
TCI-PRIV-006,Partial,"src/lib/visibility-playbook.ts:33-61 + src/components/settings/visibility-mode-control.tsx provide ONE org-level mode (private/managed/full) that only governs name reveal, not these five independent concerns; ADR 0018 covers the settings visibility route."
TCI-PRIV-007,Conflicting,"src/app/legal/what-we-collect/page.tsx:66-75: 'There is no content field anywhere in the Revealyst data model.' Frozen tripwire (CLAUDE.md): 'no prompt-content ingestion in Team mode'. Prompts are never collected, so there is nothing to toggle available."
TCI-PRIV-008,Complete,src/app/legal/what-we-collect/page.tsx:65-75 confirms no content field exists anywhere; the agent allowlist (src/lib/agent-collection-schema.ts) sends only counts/labels; frozen tripwire forbids prompt-content ingestion.
TCI-PRIV-009,Conflicting,"Visibility is an org-wide mode, not role-scoped: src/lib/visibility-playbook.ts:43-60 — managed/full reveal real names 'across the workspace' to everyone; src/app/(app)/people/page.tsx:23 gates names purely on org.visibilityMode; src/lib/visibility.ts:23-30 toPersonRef nulls names by mode, not by viewer role."
TCI-PRIV-010,Partial,Confidence tiers exist (src/db/org-scope/mastery.ts:34 confidenceTier measured|modeled|directional|not_measured) and the data-confidence framework surfaces incomplete data; but there is no manager-note category (grep found none) and no single typed taxonomy separating observed-vs-inferred labels on each surface.
TCI-PRIV-011,Complete,"src/app/legal/what-we-collect/page.tsx (generated from the on-device allowlist), the Data Confidence card + 'N connected sources' line (team-overview.tsx:122-139, CLAUDE.md W9 P1), and self-view capability profile card with evidence tiers (mastery.ts:49-75) give the user the contributing-data view."
TCI-PRIV-012,Complete,src/app/(app)/dashboard/team-overview.tsx:357-368 DataTrustCard (signal coverage aggregate + connector gaps + shared accounts); confidence tiers on capability state (mastery.ts:34); MIN_PEOPLE floor and count-only segments; data-confidence.ts framework (CLAUDE.md).
TCI-PRIV-013,Partial,"Anti-gamification is founder-signed (CLAUDE.md P5); no XP/streak/leaderboard (schema-shape + banned-phrasing tests); visibility-playbook.ts:48 frames scores as 'self-coaching — never a manager leaderboard'. But TCI adds manager surfaces (coaching queue, efficiency classification, 'needs coaching') that push toward evaluation; today's code upholds the principle, new surfaces would put it at risk."
TCI-PRIV-014,Complete,All reads go through org-scoped forOrg (tenant-isolation SCOPED_READS); src/lib/visibility.ts:214-224 assertTeamOnlyPseudonymized; mastery self-view-only (mastery.ts:6-15); segments count-only with MIN_PEOPLE floor (team-overview.tsx:329-342); people page pseudonymous by default (people/page.tsx:23).
TCI-PRIV-015,Partial,"No such role exists (core.ts:197 only admin/member). However the aggregate-only, no-individual-evidence view TCI wants is exactly what Private mode already renders for every member (team-overview.tsx aggregate cards; no prompt data anywhere)."
TCI-PRIV-016,Partial,"Privacy: visibility mode control exists (settings/page.tsx:156-175) and account deletion purges per-person data (src/db/account-deletion.ts PURGE_TABLES). But there is no admin-configurable data-retention period; retention is implicit (purge on delete), not a setting."
TCI-PRIV-017,Missing,"role_assignments maps a person to an engineering JOB role for recommendation targeting, not to a manager/permission grant (src/db/schema/roles.ts:34-42); Settings exposes role assignment for that purpose only (settings/page.tsx:90-104,185-187). No manager-assignment or permission-config UI exists."
TCI-ARCH-001,Partial,"src/db/schema/core.ts:138-183 (teams + team_members group tracked people, composite tenant FKs); src/db/org-scope/teams.ts:5-73 (CRUD namespace); src/app/(app)/teams/page.tsx:19-96 (admin-managed teams page)"
TCI-ARCH-002,Missing,"src/db/schema/core.ts:159-183 (teams have NO manager column); src/lib/api-context.ts:63-66 (org role is only admin|member); grep for 'manager' in src/db/src/lib returns only self-view guard comments, no manager entity"
TCI-ARCH-003,Conflicting,"src/db/org-scope/mastery.ts:5-15 ('there is NO team/other-person read surface... a manager cannot reach another person's mastery here'); src/db/org-scope/exposures.ts:6-10 and rec-interactions.ts:9-11 (same self-view posture); CLAUDE.md: mastery is deliberately self-view-only, a manager per-person view is a MAJOR privacy-model change"
TCI-ARCH-004,Blocked,src/lib/nav-items.ts:60-69 (Growth/companion route 'activates for team-org members once T5.1 / W6-A clears its dogfood gate — no build ahead of that gate'); CLAUDE.md marks W6-A companion-in-team-orgs founder-gated on the ~6-week dogfood clock since 2026-07-14
TCI-ARCH-005,Missing,src/lib/api-context.ts:63-66 (only admin|member org roles + isPlatformAdmin boolean); no observer/executive role in src/db/schema/core.ts:189-221 invites enum
TCI-ARCH-006,Missing,"src/db/schema/core.ts:138-154 (teams has id/orgId/name only — no parent_team_id, no subgroup); team_members is flat (core.ts:159-183)"
TCI-ARCH-007,Partial,"src/app/(app)/teams/page.tsx:21,47 (admin-gated team create/manage exists); src/db/schema/core.ts:86-95 (visibilityMode is org-level, three modes) — but no per-team permission config, no manager assignment, no role-pack enablement"
TCI-ARCH-008,Conflicting,"src/lib/nav-items.ts:17-26 (W5-H dashboard-itis fold: nav deliberately minimized, roster/methodology retired) and :71-76 (team nav is 4 items: Team/AI maturity/Connections/Account); src/app/(app)/dashboard/team-overview.tsx renders exactly 5 card sections on one route"
TCI-ARCH-009,Partial,"src/lib/nav-items.ts:107-130 (navFor gates ADMIN_NAV_ITEMS on role==='admin' and PLATFORM on isPlatformAdmin) — gating exists but keys off admin/platform, not a 'manager' role"
TCI-ARCH-010,Partial,"src/db/schema/core.ts:138-154 (teams has id, orgId, name, createdAt only); team_members supplies memberIds (core.ts:159-183) — managerIds, rolePackIds, settings all absent"
TCI-ARCH-011,Partial,"src/db/schema/roles.ts:23-32 (flat roles reference table, engineering seed, no capability bundling, no status lifecycle) and :43-78 (role_assignments = person→one role); src/db/schema/capability-graph.ts:29-60 (domains/capabilities global reference, engineering domain only, not per-team-enableable)"
TCI-ARCH-012,Missing,"src/db/schema/capability-graph.ts:29-60 (capabilities are GLOBAL reference, not per-org/per-team configurable; no importance/weight column, no custom-dimension surface)"
TCI-ARCH-013,Conflicting,No snapshot table in src/db/schema/* (grep 'snapshot' returns none); team-overview computes on read (src/app/(app)/dashboard/team-overview.tsx); CLAUDE.md warns score_results.computed_at is rewritten by nightly upsert (materialized history deliberately avoided) and the codebase prefers compute-on-read (readDashboardView)
TCI-ARCH-014,Partial,"src/db/schema/capability-graph.ts:41-60 (capabilities have slug/domainSlug/version/label/summary + prose columns) — a version exists, but there is no universal/role_specific category flag and only one engineering domain is seeded"
TCI-ARCH-015,Partial,"CLAUDE.md Frozen contracts + 'A new org-scoped table needs THREE registrations': tenant-isolation SCOPED_READS, ADR (docs/decisions/, latest 0043), account-deletion purge; drizzle latest 0035; existing composite-tenant-FK pattern in src/db/schema/core.ts:159-183 and roles.ts:64-77"
TCI-DATA-001,Partial,"src/db/schema/capability-graph.ts:149-214 (user_capability_state: personId, capabilitySlug, mastery, confidence numeric, confidenceTier, evidenceCount, lastEvidenceAt, components jsonb, updatedAt); src/scoring/capability-state.ts:69-80 (CapabilityStateComputed shape)"
TCI-DATA-002,Conflicting,"TCI §4.3 line 423 (5-level enum) vs src/lib/capability-glossary.ts:10-24 (positive-first 4-band CapabilityBand: Established | Building | Developing | Getting started; masteryBand thresholds) and file header 'Discovery, never deficiency ... never a competing third ladder (L5)'; CLAUDE.md anti-deficiency + 'no 4th ladder' rules"
TCI-DATA-003,Missing,"src/db/schema/capability-graph.ts:149-214 (user_capability_state has NO trend/change/history columns — it is point-in-time, upserted per recompute); scoring.ts:106-118 (score_results is an upsert, overwritten in place); CLAUDE.md timestamp gotcha: score_results.computed_at is rewritten by the nightly recompute so it cannot serve as a change history"
TCI-DATA-004,Partial,"src/db/schema/capability-graph.ts:163-175 (confidence numeric [0,1] + confidenceTier + evidenceCount stored); src/scoring/capability-state.ts:109,154,164 (no evidence → NO row, the never-shown-without-confidence rule is already the honesty invariant); src/lib/capability-glossary.ts:45-56 (confidenceTierLabel) + 96-110 (early-read vs measured explainer)"
TCI-DATA-005,Blocked,"src/db/schema/capability-graph.ts:138-146 ('Self-view-only ... a per-person capability number NEVER leaves self-view (no team read surface consumes this table — P6's rollup aggregates it count-only)'); src/db/schema/recommendations.ts:29-30,226 (rec state + exposure are self-view-only, no manager read route); CLAUDE.md: companion-in-team-orgs (W6-A) is founder-gated on a ~6-week dogfood clock since 2026-07-14"
TCI-DATA-006,Partial,"src/db/schema/core.ts:138-183 (teams table: id, orgId, name; team_members: org_id, team_id, person_id with composite tenant FKs); tests/tenant-isolation.test.ts:65-66 (teams.list, teams.members) and :544 (teams.addMember)"
TCI-DATA-007,Missing,src/db/schema/core.ts:138-154 (teams table has only id/orgId/name — no settings jsonb or child config); no team-settings table in src/db/schema/*.ts
TCI-DATA-008,Partial,"src/db/schema/capability-graph.ts:31-67 (domains table groups capabilities by area, Engineering only; capabilities.domainSlug); src/db/schema/roles.ts:23-32 (roles = per-person role slugs, engineering-only seed, NOT a capability bundle); CLAUDE.md: non-eng role expansion is DEFERRED/gated on an honest role-telemetry source that doesn't exist"
TCI-DATA-009,Partial,"src/db/schema/capability-graph.ts:47-67 (capabilities: slug PK, label, summary, version, workflow/playbook/learningPath) + 75-110 (capability_signals binds each capability to metric/component evidence)"
TCI-DATA-010,Missing,"src/db/schema/scoring.ts:61-119 (score_results supports subjectLevel 'team' with teamId — but only for the 3 frozen score definitions, NOT per-capability, and it is upserted/overwritten); no persisted team capability aggregate or maturity-distribution table; P6 rollup (per CLAUDE.md) is computed count-only at read time in readDashboardView, not stored"
TCI-DATA-011,Partial,"src/db/schema/tracking.ts:173-222 (metric_records: per subject/day, value in usd_cents via metric_catalog unit, dim carries model=…, source_connector identifies the provider, attribution level per row); src/db/schema/billing.ts:70-103 (budgets is an org-level monthly ceiling only; comment: month-to-date spend is derived on read from spend_cents metric_records, no ledger)"
TCI-DATA-012,Partial,"CLAUDE.md + recompute-capability-state.ts (per-person capability recompute is a poller score-recompute step, all reads batched, query count independent of person count); P6 team coverage is read-time count-only, not a persisted job; src/db/schema/billing.ts:70-103 (cost derived on read, no allocation job)"
TCI-DATA-013,Partial,"src/db/schema/audit.ts:19-46 (audit_log: append-only, org-scoped, actor + dot-namespaced action + target, metadata — the manager-action trail); src/db/schema/capability-graph.ts:52,163-186 (capabilities.version=scoring version; user_capability_state stores confidence inputs + components=evidence categories + updatedAt); src/db/schema/recommendations.ts:31-69 (rec_interaction_state 'dismissed' — but SELF-VIEW ONLY, a person dismissing their own rec, not a manager dismissing an insight)"
TCI-TEL-001,Complete,"src/contracts/metrics.ts:53-73 (active_day, feature_used, sessions, model_requests, agent_active); drizzle/0030_capability-graph.sql:58-75 (ai-coding-foundations/feature-breadth/consistent-daily-use bound to exactly these)"
TCI-TEL-002,Conflicting,"tci.md:167-181 signal list is prompt-text-derived; no such key in src/contracts/metrics.ts:53-108; local-log denylist forbids message.content (docs/connector-facts.md:357-360); only proxy is acceptance ratio (metrics.ts:65-66, effective-prompting seed drizzle/0030:76-78)"
TCI-TEL-003,Conflicting,tci.md:183-197 signal list is entirely prompt/output-content-derived; no telemetry key or proxy exists in src/contracts/metrics.ts:53-108; docs/connector-facts.md field inventories expose no decomposition/planning/synthesis signal
TCI-TEL-004,Partial,"retries + edit_actions_accepted/rejected exist but are UNBOUND (src/contracts/metrics.ts:67-69); sub-daily session/turn structure exists (subject_day_signals, metrics.ts:149-166); OTel edit decisions give real accept/reject (otel-ingest.ts:120-126). But 'correction behaviour' and 'reuse of previous outputs' are content-derived."
TCI-TEL-005,Missing,No telemetry key for testing/fact-checking exists in src/contracts/metrics.ts:53-108; no vendor admin API exposes a test-run or verification signal (docs/connector-facts.md field inventories); OTel markers are active_time + code-edit decisions only (otel-ingest.ts:11-24). This is the exact capability tci.md Flow A (§12) builds a coaching campaign around.
TCI-TEL-006,Partial,"agentic family (agent_sessions/agent_requests/agent_active, metrics.ts:81-83) + agentic-delivery seed (drizzle/0030:79-81); feature_used / MCP + subagent adoption from local-log tool_use.name (docs/connector-facts.md:353); but saved-workflows/reusable-prompts/templates have no signal"
TCI-TEL-007,Partial,"This is internal-state, not vendor telemetry: capability-state history exists (src/scoring/capability-state.ts, directional/measured tiers per CLAUDE.md); rec adoption via rec_interaction_state + recommendation_exposure log; missions detect measured capability crossings (mig 0032/0037). Team-level velocity aggregation is new."
TCI-TEL-008,Partial,"Existing 9-cap eng seed maps SOME: code-review-with-ai (drizzle/0030:88-89, pull_requests+feature_used), agentic-delivery (79-81), ship-with-ai (85-87, commits/PRs/lines), model-selection (90-91). But debugging/testing/architecture-reasoning have NO signal (metrics.ts:53-108); context engineering's context_tokens key exists (metrics.ts:98-107) but has NO producer (emitter fixture-gated, D11)."
TCI-TEL-009,Blocked,"All connected vendors are developer tools (docs/connector-facts.md:16-23 summary table: Copilot, Cursor, Anthropic, OpenAI, Claude Code); no M365/Workspace/CRM/design telemetry connector exists in src/connectors/registry.ts; CLAUDE.md records non-eng role expansion is DEFERRED pending 'an honest M365/Workspace role-telemetry source (doesn''t exist)'."
TCI-TEL-010,Partial,Connected-providers list + connected-source counts + per-connection latest-run honesty badges exist (src/lib/connections-view.ts:12-60; src/app/(app)/connections/page.tsx); last-sync via connections.markSynced (src/lib/agent-ingest.ts:213) and append-only connector_runs; freshness via data-confidence 'as-of' qualifier (src/lib/data-confidence.ts:62)
TCI-TEL-011,Partial,"Identity resolution / unresolved-subject surfacing exists (src/app/(app)/reconcile/page.tsx, src/components/reconcile-subject-dialog.tsx, tracked_user contract src/contracts/tracked-user.ts: resolved vs surfaced-not-billed subjects); allocation/coverage gaps exist as honesty gaps in src/lib/data-confidence.ts (coverage/import-quality/sync-issues categories, lines 39-44)"
TCI-MET-001,Complete,"src/contracts/metrics.ts:14 (`spend` is its own MetricFamily), :61-62 (spend_cents/spend_cents_estimated map to family 'spend'); src/lib/maturity.ts:59-61,278-376 (breadth/depth axes blend activation/feature-coverage/agentic-share/multi-feature-days/concurrency only — no spend); src/lib/metrics-glossary.ts:40,494-514 (`efficiency` is a separate score slug, not part of the capability band); src/scoring/evaluate.ts:112-121 (ratio honesty, no spend component in adoption/fluency)."
TCI-MET-002,Partial,"Principle already honored: src/lib/metrics-glossary.ts:501,509 frames `efficiency` as a cost-efficiency (not ROI) read with plain-English explanation; drizzle/0030_capability-graph.sql:63,90-91 give explainable `cost-efficient-usage` and `model-selection` capabilities. But the specific per-member 6-bucket classifier (tci.md:1337-1347) joining capability-growth to spend does not exist anywhere in src/lib."
TCI-MET-003,Partial,"src/lib/spend-governance.ts:83-98 (month-to-date reported vs estimated), :178-207 (summarizeSpendByTool = by provider/tool), :218-233 (summarizeModelVolume = by model as TOKEN volume, not dollars), :432-497 (composed SpendGovernanceView with projection, cost-per-unit, model-mix trend). Present on the team view as an aggregate footer + budget banner: src/app/(app)/dashboard/team-overview.tsx:145-150,227-268. Missing: an explicit period-over-period spend delta, an explicit allocated-vs-unallocated percentage, and a dedicated 'cost-data confidence' figure."
TCI-MET-004,Conflicting,"src/lib/spend-governance.ts:14-16 and :210-233 deliberately present per-model TOKEN VOLUME, not dollars, because 'no connected vendor reports per-MODEL spend today … The absence is surfaced as a gap, never estimated into a fabricated cost.' TCI tci.md:1299 lists 'spend by model' under a cost (dollar) overview."
TCI-MET-005,Conflicting,"Team view is aggregate/count-only (src/app/(app)/dashboard/team-overview.tsx:145-150 shows only a total-spend footer; budget banner is role-gated at src/lib/spend-governance.ts:532-539). Spend is summed org-wide, never per person (spend-governance.ts:83-98,178-207). CLAUDE.md founder laws: mastery/capability state is self-view-only; MIN_PEOPLE floor + pseudonymized private mode. Per-model/per-person dollar allocation is largely unavailable (spend-governance.ts:14-16), and TCI itself concedes much spend is unallocatable (tci.md:1359)."
TCI-MET-006,Partial,"src/lib/exec-report.ts:170-194 (honest vendor-reported spend line, estimated shown alongside, never blended), :296-305 (cost-per-active-user, ratio-honest); src/lib/metrics-glossary.ts:501,509 (efficiency framed as cost-efficiency, not ROI); src/lib/spend-governance.ts:349-413 (model-mix share-shift = the 'premium usage increased' signal). Missing: a composed insight feed that pairs a capability/growth movement with a spend movement into these specific sentences."
TCI-MET-007,Partial,"Copy already resists ROI/cost-cut framing: src/lib/metrics-glossary.ts:501 ('never estimates the value or time your team actually produced'), :509 ('never an ROI figure'). No automated recommendation currently tells a manager to cut access. But there is no explicit guard/test ensuring a future cost insight or recommendation can't say 'reduce access because expensive'."
TCI-MET-008,Partial,"Row-derivable half exists: src/lib/launch-funnel.ts:168-209 + src/db/system.ts:190-257 (orgs→connected→backfilled→activated funnel, personal→team conversion). 'Sufficient data coverage' maps to existing confidence/coverage (MIN_PEOPLE, data-confidence.ts). Missing: view-side events for Team Overview and Capability Matrix — src/lib/launch-events.ts:24-39 only defines landing_view/digest_return/companion_revisit; no team/manager/matrix event (grep confirmed none in worker.ts)."
TCI-MET-009,Partial,"Coaching/recommendation action + dismissal already computable: src/db/system.ts:310-362 recEngagementRollup (shown/tried/dismissed/snoozed, counts-only, no personId in RecEngagementRollupRow). But insight-card-open, report-view, expert-directory-search, and weekly-manager-active have NO events — src/lib/launch-events.ts:24-39 event union lacks them; no expert directory or report surface is instrumented."
TCI-MET-010,Partial,"Building blocks exist: score_results history + user_capability_state (directional/measured) power capability trend; recommendation completion ≈ recEngagementRollup 'tried' (src/db/system.ts:330-341); knowledge-concentration coverage counts exist in the team P6 rollup (CLAUDE.md W7 P6 count-only capability-coverage card). Missing: packaged period-over-period outcome metrics (e.g. 'weak capability improved', 'advanced coverage increased', 'concentration reduced') as computed figures."
TCI-MET-011,Partial,"Dismissal rate is computable now (recEngagementRollup 'dismissed', src/db/system.ts:338-341). Confidence tiers exist (directional/measured, src/scoring/capability-state.ts; data-confidence framework src/lib/data-confidence.ts). Missing: an aggregate '% of scores at medium/high confidence' figure, a score-explanation-open event, a disclosure-shown-rate metric, and any user-dispute/correction mechanism (none in repo)."
TCI-MET-012,Partial,"Derivable today: allocated-vs-unallocated from reported-vs-estimated (src/lib/spend-governance.ts:83-98 + TCI-MET-003); premium-model usage shift from summarizeModelMixTrend (:349-413); capability-growth-relative-to-spend ≈ the existing `efficiency` score (metrics-glossary.ts:494-514) + output_per_spend/engagement_per_spend. Missing: a packaged 'allocated-spend coverage %' metric, a period-over-period premium-usage-reduction figure, and an 'actionable cost insights count' (depends on TCI-MET-006 existing)."
TCI-BE-001,Complete,src/scoring/recompute-capability-state.ts:53 recomputeCapabilityState; src/poller/process.ts:110 runs it in the nightly score-recompute step; src/worker.ts:202 NIGHTLY_SCORE_CRON fans one msg per org
TCI-BE-002,Partial,"src/lib/dashboard-view.ts (team overview derived on read-path, count-only) and src/lib/maturity.ts readMaturityView aggregate org-level today, but there is NO snapshot table (grep of src/db/schema found none); usage-distribution.ts:36 MIN_PEOPLE_FOR_DISTRIBUTION floors small groups"
TCI-BE-003,Partial,src/lib/usage-distribution.ts computes band tallies + concentration aggregate-only; src/lib/maturity.ts produces one org maturity level; there is no per-capability level distribution across named/counted members
TCI-BE-004,Partial,src/lib/recent-movement.ts computeRecentMovement; src/lib/attribution-trend.ts; maturity plateau logic in src/lib/maturity.ts (kind: insufficient|stale|growing|flattened); exec-report.ts:455 already calls computeRecentMovement
TCI-BE-005,Conflicting,"No skill-extraction code exists (grep for skill.extract found nothing); CLAUDE.md tripwire 'no prompt-content ingestion in Team mode'; agent collection is content-free by design (src/lib/agent-collection-schema.ts, desktop-collector memory 'content-free events')"
TCI-BE-006,Missing,No mentor code exists (grep for mentor found nothing in src/); roles/role_assignments exist (src/db/org-scope) but carry no proficiency-for-mentoring signal
TCI-BE-007,Partial,"src/lib/usage-distribution.ts computes top-decile PROMPT concentration (aggregate, org-level, uncalibrated); src/lib/maturity.ts concentration number; exec-report.ts:284 concentration section — but it is by prompt volume, not per-capability expert count, and thresholds are hard-coded/directional"
TCI-BE-008,Partial,"src/lib/score-insights.ts deriveAttention + src/lib/recommendation-catalog.ts computeUtility (deterministic ranker, benefit/difficulty/confidence/capabilityGap) already generate ranked recs with a 'why this' line + confidence disclosure, but self-view only"
TCI-BE-009,Partial,"src/lib/spend-governance.ts aggregates vendor-reported spend_cents per connection + per-model by TOKEN volume, keeps estimated separate (never summed), and surfaces gaps; but there is no per-USER allocation and no CostAllocation row with allocationMethod/confidence"
TCI-BE-010,Partial,src/lib/score-insights.ts AttentionItem taxonomy (recommendation|anomaly|plateau|milestone|spend|agentic-transition) + src/lib/anomaly.ts generate insights; rec_interaction_state stores snooze/dismiss/mark-tried BUT self-view-only; there is no ManagerInsight table with severity/status persistence
TCI-BE-011,Partial,score_results carries components + computed_at (but CLAUDE.md warns computed_at is REWRITTEN by nightly upsert — not an audit trail); rec exposure log recommendation_exposure (ADR 0038) + rec_interaction_state store dismissals self-view; audit_log exists for account actions; no per-score-version diff / manager-action audit
