id,domain,section,title,status,effort,risk,priority,quick_win,requirement
TCI-DATA-008,data,"§9, §4.2",RolePack entity,Partial,L,medium,P2,no,"RolePack = { id, name, capabilityIds[], version, status(draft|active|deprecated) } grouping role-specific capabilities; packs for Engineering, Product, Marketing, Sales, CS, HR, Finance, Operations."
TCI-DATA-009,data,§9,CapabilityDefinition entity,Partial,S,low,P2,yes,"CapabilityDefinition = { id, name, description, category(universal|role_specific), scoringVersion, evidenceTypes[] }."
TCI-DATA-010,data,§9,TeamCapabilitySnapshot entity,Missing,L,high,P1,no,"TeamCapabilitySnapshot = { id, teamId, periodStart, periodEnd, overallScore, capabilityScores(Record), maturityDistribution(Record), confidence, representedMemberCount, totalMemberCount }."
TCI-DATA-011,data,"§9, §6.8",CostAllocation entity,Partial,M,medium,P2,no,"CostAllocation = { userId?, teamId, provider, model?, period, amount, currency, confidence, allocationMethod } with allocated-vs-unallocated spend and allocation confidence."
TCI-DATA-012,data,§9,Background calculation jobs for team entities,Partial,M,medium,P2,no,"Background jobs: individual capability recalculation, team aggregation, maturity distribution, growth calculation, cost allocation, insight generation (plus skill/mentor/concentration generation)."
TCI-DATA-013,data,§9,Auditability record,Partial,M,medium,P2,no,"Store scoring version, calculation timestamp, evidence categories, confidence inputs, changes between score versions, manager actions, and dismissed recommendations."
TCI-TEL-001,telemetry,§4.1,AI Adoption dimension signals,Complete,S,low,P1,yes,"Compute an AI Adoption universal dimension from usage frequency, workflow breadth, tool/model exploration, continued use over time, and progression beyond basic chat."
TCI-TEL-002,telemetry,§4.1,AI Communication dimension signals,Conflicting,M,high,P2,no,"Score how effectively a user communicates objectives, context, constraints, output structure, and examples to AI (clarity/completeness/constraint/structure/examples)."
TCI-TEL-003,telemetry,§4.1,AI Thinking dimension signals,Conflicting,XL,high,P3,no,"Score use of AI for reasoning, research, planning, decomposition, option comparison, and synthesis."
TCI-TEL-004,telemetry,§4.1,AI Iteration dimension signals,Partial,M,medium,P2,no,"Score refinement through feedback: follow-up depth, correction behaviour, iterative refinement, reuse of outputs, sustained task progression."
TCI-TEL-005,telemetry,§4.1,AI Verification dimension signals,Missing,L,high,P2,no,"Score how consistently a user validates AI output: fact-checking, testing, source requests, cross-checking, uncertainty handling, review before use."
TCI-TEL-006,telemetry,§4.1,AI Workflow Integration dimension signals,Partial,M,medium,P2,no,"Score how deeply AI is embedded in repeatable work: saved workflows, reusable prompts, templates, connected tools, automations, agent/multi-step workflows."
TCI-TEL-007,telemetry,§4.1,AI Learning Velocity dimension signals,Partial,M,medium,P1,no,"Score the rate of capability improvement: score change over time, recommendation adoption, new-capability acquisition, movement to advanced workflows, weakness reduction."
TCI-TEL-008,telemetry,§4.2,Engineering role-pack capability feasibility,Partial,L,medium,P1,no,"Provide Engineering-pack capabilities: code generation, debugging, testing, architecture reasoning, code review, context engineering, agentic development, dev-tool integration."
TCI-TEL-009,telemetry,§4.2,Non-engineering role packs (Product/Marketing/Sales/CS/HR/Finance/Operations) telemetry,Blocked,XL,high,P3,no,"Provide role packs and universal-dimension scores for product, marketing, sales, customer success, HR, finance, and operations teams."
TCI-TEL-010,telemetry,§6.12,Team Settings → Data Sources health panel,Partial,M,low,P1,yes,"Show connected providers, sync status, last sync, and data freshness in team settings."
TCI-TEL-011,telemetry,§6.12,Member matching status + allocation-gap disclosure,Partial,S,low,P2,yes,Show member matching status and allocation/coverage gaps for team data sources.
TCI-MET-001,metrics,§6.8 / §16,Cost is never folded into capability scores,Complete,S,low,P0,yes,Capability/maturity scoring must never include spend as an input; cost stays a separate operational metric.
TCI-MET-002,metrics,§6.8 Efficiency Classification,No opaque efficiency score; explainable classifications first,Partial,M,medium,P2,no,"Do not launch a single opaque 'AI Efficiency Score'; use explainable classifications, each of which explains why it was assigned."
TCI-MET-003,metrics,§6.8 Team Cost Overview,"Team Cost Overview (aggregate spend, breakdowns, allocation confidence)",Partial,M,low,P1,no,"Show total spend, period change, spend by provider/tool, spend by model, allocated vs unallocated spend, and cost-data confidence."
TCI-MET-004,metrics,§6.8 (spend by model),Spend by model shown as dollars,Conflicting,S,low,P2,no,Break spend down by model.
TCI-MET-005,metrics,§6.8 Individual Cost Table,Per-member / per-role cost table visible to managers,Conflicting,XL,high,P2,no,"Give managers a per-member cost table (monthly spend, spend change, premium-model share, active days, efficiency classification, allocation confidence) and spend by role/by team member."
TCI-MET-006,metrics,§6.8 Cost Insight Examples,Honest cost-insight narratives (growth-vs-spend),Partial,M,medium,P2,no,"Produce plain-English cost insights (e.g. 'premium-model usage increased but capability growth stayed stable', 'low spend because adoption is low', 'growth without a spend increase', 'large share of spend unallocated')."
TCI-MET-007,metrics,§6.8 / §7.2 / §16,Cost insights must not recommend cutting access solely for being expensive,Partial,S,low,P2,no,Never frame cost reduction as the default objective; never recommend reducing a user's access just because they are expensive.
TCI-MET-008,metrics,§15 Activation,§15 Activation metrics for the team product,Partial,M,low,P1,no,"Measure % of workspaces creating a team, % of managers opening Team Overview, % of teams with sufficient data coverage, % of managers viewing Capability Matrix."
TCI-MET-009,metrics,§15 Engagement,"§15 Engagement metrics (manager active, insight opens, coaching action, report views, expert searches)",Partial,M,low,P1,no,"Measure weekly manager active rate, insight-card open rate, coaching recommendation action rate, report-view rate, and expert-directory searches."
TCI-MET-010,metrics,§15 Capability Outcomes,§15 Capability-outcome metrics,Partial,M,medium,P2,no,"Measure improvement in weak team capabilities, increase in advanced-capability coverage, reduction in knowledge concentration, recommendation completion, and sustained capability growth."
TCI-MET-011,metrics,§15 Trust,"§15 Trust metrics (confidence coverage, explanation usage, dismissal, disputes, disclosure rate)",Partial,L,medium,P2,no,"Measure % of scores at medium/high confidence, score-explanation usage, manager dismissal rate for inaccurate insights, user disputes/corrections, and incomplete-data disclosure rate."
TCI-MET-012,metrics,§15 Cost Outcomes,§15 Cost-outcome metrics,Partial,M,low,P2,no,"Measure allocated-spend coverage, reduction in unnecessary premium-model usage, capability growth relative to spend, and number of actionable cost insights."
TCI-BE-001,backend,§9,Individual capability recalculation job,Complete,S,low,P0,no,A background job recalculates each person's capability scores on a cadence.
TCI-BE-002,backend,§9,Team aggregation + team capability snapshot persistence,Partial,L,medium,P1,no,"A job aggregates member capability into a team-level view (TeamCapabilitySnapshot: overallScore, per-capability scores, maturity distribution, represented vs total member count) and stores period snapshots."
TCI-BE-003,backend,"§9, §6.1",Maturity/capability distribution by member counts,Partial,M,medium,P1,no,A job computes member counts by maturity level (inactive/beginner/intermediate/advanced/expert) per capability and for the team overall.
TCI-BE-004,backend,"§9, §6.5",Growth / movement calculation,Partial,M,medium,P2,no,"A job computes capability change over time: velocity, movement up/down a level, plateau, and decline counts."
TCI-BE-005,backend,"§9, §6.7",Skill extraction job,Conflicting,XL,high,P3,no,"A job detects/extracts discrete AI-related skills per person (prompt design, verification, automation, specific tools, role-specific workflows) with proficiency and evidence recency."
TCI-BE-006,backend,"§9, §6.6",Mentor matching job,Missing,XL,high,P2,no,A job matches learners to internal mentors per capability with a mentor-confidence score and workload/conflict warnings.
TCI-BE-007,backend,"§9, §6.7","Concentration-risk detection (per-capability, configurable thresholds)",Partial,M,medium,P2,no,"A job flags capabilities where expertise is concentrated in one or two members, with configurable risk thresholds (low/moderate/high/critical)."
TCI-BE-008,backend,"§9, §6.6",Coaching recommendation generation (manager-facing),Partial,L,medium,P1,no,"A job turns capability gaps into ranked coaching recommendations for managers (member/cohort, gap, priority, evidence, confidence, suggested action, effort)."
TCI-BE-009,backend,"§9, §6.8","Cost allocation job (CostAllocation, per-user, method + confidence)",Partial,L,medium,P2,no,"A job allocates AI spend to users/teams with an allocationMethod and confidence, tracking allocated vs unallocated spend."
TCI-BE-010,backend,"§9, §6.9",Manager insight generation + persisted feed with status lifecycle,Partial,L,high,P1,no,"A job generates ManagerInsight cards (category, severity, evidence, affected users/capabilities, recommended action) and persists a feed with a new/viewed/acted_on/dismissed lifecycle."
TCI-BE-011,backend,§9 Auditability,Auditability store for scores/actions,Partial,L,medium,P2,no,"Store scoring version, calculation timestamp, evidence categories, confidence inputs, changes between score versions, manager actions, and dismissed recommendations."
TCI-BE-012,backend,§6.11,Weekly Team Brief report,Partial,M,medium,P2,no,"Generate a weekly manager brief: major changes, new risks, coaching priorities, emerging experts, data-quality issues."
TCI-BE-013,backend,§6.11,Monthly Capability Review report,Partial,M,low,P1,yes,"Generate a monthly review: team maturity, capability trends, member movement, gaps, coaching progress, concentration, spend context, priorities."
TCI-BE-014,backend,§6.11,Quarterly Capability Review report,Missing,M,low,P2,yes,"Generate a quarterly review: longer-term trend, role-pack development, coaching outcomes, skill coverage, operational cost trend, next-quarter priorities."
TCI-BE-015,backend,"§6.11, §6.2",PDF export,Missing,M,medium,P3,no,Export reports and the capability matrix as PDF.
TCI-BE-016,backend,"§6.11, §6.2",CSV export of underlying report/matrix tables,Partial,S,low,P2,yes,"Export underlying tables (matrix, cost table, board numbers) as CSV."
TCI-BE-017,backend,§6.11,Scheduled / configurable report email delivery,Partial,L,medium,P2,no,"Deliver reports on a schedule via email, ideally user-configurable per report type."
TCI-BE-018,backend,§11,Manager notification delivery + triggers,Partial,L,medium,P2,no,"Deliver manager notifications (new maturity level, capability declined, several ready for training, expertise concentrated, plateau, cost up without capability growth, data source stopped syncing) with deep link + recommended action."
TCI-BE-019,backend,§11,Member (individual) notification delivery,Missing,M,medium,P2,no,"Deliver per-member notifications (new development priority, manager assigned coaching, mentor assigned, capability improved, recommendation ready, personal cost incomplete) with deep link."
TCI-FE-001,frontend,§5,Top-level 'Team Intelligence' nav with 11 sub-items,Conflicting,S,medium,P2,no,"Add a new top-level product area 'Team Intelligence' with 11 gated sub-items (Overview, Capability Matrix, Team Members, Growth, Coaching, Skills & Experts, Costs & Efficiency, Insights, Benchmarks, Reports, Team Settings), hidden from non-managers."
TCI-FE-002,frontend,§6.1,Team Overview screen (aggregate summary),Partial,M,medium,P1,no,"A manager 30-second overview: overall team capability + maturity + confidence, capability distribution, universal capability profile, ≤4 priority insight cards, growth chart, coaching queue preview, cost snapshot, freshness indicator."
TCI-FE-003,frontend,§6.1,Team Overview header controls (selectors + filters),Missing,M,medium,P2,no,"Header with team selector, date-range selector, role filter, location/subgroup filter, compare-period toggle, export action, data-freshness indicator."
TCI-FE-004,frontend,§6.1,Universal capability profile (bars/radar) + single team capability score,Conflicting,M,high,P2,no,"Render the 7 universal capability dimensions as aligned bars (radar supplementary) with score/trend/confidence/benchmark, plus a single overall team capability score."
TCI-FE-005,frontend,§6.2,Capability Matrix (people × capabilities grid),Conflicting,XL,high,P3,no,"A grid of team members (rows) × capabilities (columns) with per-cell score/intensity/trend/confidence, hover explanations, click-through capability drawer, filters, column selector, CSV/PDF export, saved views."
TCI-FE-006,frontend,§6.3,Team Members roster with per-member capability columns,Conflicting,L,high,P3,no,"A sortable member table (overall capability, maturity, growth, strongest capability, development priority, coaching status, spend, last active) with expandable per-member rows and bulk coaching/mentor/note actions."
TCI-FE-007,frontend,§6.4,Individual Team Member Profile (manager-facing),Conflicting,XL,high,P3,no,"A manager-facing version of the individual growth profile with tabs (Overview, Capabilities, Skills, Growth, Cost/Usage, Coaching, Notes) for any named member, plus assign-coaching/mentor/note/export actions."
TCI-FE-008,frontend,§6.5,"Team Growth screen (trend, movement, segments, coaching impact)",Partial,M,medium,P2,no,"A team growth surface: capability trend line, capability-movement counts (up/down/stable/insufficient), growth segments (fastest/plateaued/declining/newly-active/inactive), coaching-impact pre/post, forecasting (labeled projection)."
TCI-FE-009,frontend,§6.6,Coaching Center (manager assign/campaigns/mentor matches),Conflicting,XL,high,P3,no,"A manager surface to convert capability gaps into assigned coaching actions, run team campaigns, match mentors, and track actions through completion."
TCI-FE-010,frontend,§6.7,Skills & Experts (inventory + named expert directory),Conflicting,L,high,P2,no,"A skills inventory (per-skill counts, maturity distribution, concentration risk) plus an Expert Directory listing named members with expertise, proficiency, recent evidence, and mentor availability."
TCI-FE-011,frontend,§6.9,Manager Insights feed (prioritized narrative + dismiss/convert),Partial,L,medium,P2,no,"A prioritized narrative feed of ManagerInsight cards (category, severity, explanation, confidence, evidence, recommended action, status) with filters and dismiss/save/convert-to-coaching actions."
TCI-FE-012,frontend,§6.10,Benchmarks screen (team/role/cohort comparisons),Partial,M,low,P2,yes,"Compare team vs previous period, team vs workspace average, role vs same-role average, subgroup vs parent, and (later) anonymized external benchmark, with population/period/confidence always shown and comparability guardrails."
TCI-FE-013,frontend,§6.11,Reports UI (weekly/monthly/quarterly + export),Partial,M,low,P2,yes,"Generate reusable manager reports (Weekly Team Brief, Monthly Capability Review, Quarterly Review) with in-app view, PDF, CSV export, and scheduled email delivery."
TCI-FE-014,frontend,§8,Shared: Capability Score Card + Capability Bar,Partial,S,low,P2,yes,A CapabilityScoreCard (score/level/trend/change/confidence/coverage/onExplain) and a Capability Bar (label/score/benchmark/trend/confidence).
TCI-FE-015,frontend,§8,Shared: Confidence Badge + Trend Indicator,Partial,S,low,P2,yes,A ConfidenceBadge (high/medium/low/insufficient data) and a TrendIndicator (improving/stable/declining/unavailable).
TCI-FE-016,frontend,§8,Shared: Insight Card variants,Partial,S,low,P2,yes,An Insight Card with variants positive/opportunity/warning/critical/disclosure.
TCI-FE-017,frontend,§8,Shared: Capability Detail Drawer,Partial,M,medium,P2,no,"A drawer showing score, explanation, contributing signals, limiting signals, trend, confidence, recommendation, limitations."
TCI-FE-018,frontend,§8,Shared: Data Confidence Disclosure (progressive),Complete,S,low,P1,yes,"A progressive-disclosure data-confidence component: collapsed (plain summary, confidence status, impact) → expanded (technical reason, affected metrics, remediation, last-checked)."
TCI-FE-019,frontend,§8,Shared: Member Avatar Row,Conflicting,S,medium,P3,no,"A row showing avatar, name, role, status, and optional maturity badge for a member."
TCI-FE-020,frontend,§8,"Shared: Empty State (honest, actionable)",Complete,S,low,P1,yes,"An empty state that explains why data is unavailable, what is required, who can resolve it, and the expected effect after resolution."
TCI-UX-001,ux,§2.2,Growth-over-ranking framing as UX law,Complete,S,low,P1,no,"The interface emphasizes improvement, readiness, strengths and coaching over employee competition."
TCI-UX-002,ux,§2.2,No leaderboards / employee rankings,Complete,S,low,P1,no,Avoid public leaderboards and simplistic employee rankings.
TCI-UX-003,ux,§2.3,"Per-score explainability (signals, change, evidence, limitations, next action)",Partial,M,medium,P2,no,"Every capability score exposes contributing signals, confidence, recent changes, supporting evidence, known data limitations, and a recommended next action."
TCI-UX-004,ux,§2.3,Never show a score without confidence + evidence availability,Partial,S,low,P2,yes,Capability/score values must never render without an attached confidence and evidence-availability indicator.
TCI-UX-005,ux,§6,Insufficient-data / forming states never fabricate,Complete,S,low,P1,no,Screens support an insufficient-data / forming state that explains the gap and never floors missing values to zero.
TCI-UX-006,ux,"§6, §8",Structured empty state (why / what's required / who resolves / effect),Partial,S,low,P2,yes,"Empty states must explain why data is unavailable, what is required, who can resolve it, and the expected effect after resolution."
TCI-UX-007,ux,§6,Low-confidence values visually distinct,Partial,S,low,P2,no,"Low-confidence and insufficient-data values are visually distinct across screens (cells, scores)."
TCI-UX-008,ux,"§6, §8",Data-confidence progressive disclosure,Complete,S,low,P1,no,"A collapsed plain-language confidence summary that expands to technical reason, affected metrics, remediation action, and last-checked time."
TCI-UX-009,ux,§7.1,Individual capability SCORE as the hero metric,Conflicting,S,medium,P1,no,Keep the individual capability score as the hero metric on the IC overview.
TCI-UX-010,ux,§7.1,"IC overview section set (universal + role-pack breakdown, assigned coaching)",Partial,M,medium,P2,no,"IC overview shows current capability, growth focus, universal capability breakdown, role-pack breakdown, recommendations, assigned coaching, personal cost, and data confidence."
