id,spec_section,tier,domain,status,evidence
ENT-007,"§6.4","V1","Database","Implemented","src/db/schema.ts:1546-1611 user_capability_state: org-scoped PK org_id/person_id/capability_slug, mastery/confidence/confidenceTier/evidenceCount/staleness/nextCapability/components jsonb, composite tenant FK cascade, org-batched indexes. Engine src/scoring/capability-state.ts:185-194 caps 'directional' UNLESS ≥2 bound OTEL_MARKER_METRIC_KEYS have evidence → 'measured' (MEASURED_MARKER_MIN, ADR 0039); zero evidence → no row (honesty). Three registrations present (tenant-isolation mastery.forPerson(B), PURGE before people account-deletion.ts:71, ADR 0036)."
ENT-008,"§6.4","V1","Database","Implemented","src/db/schema.ts:1620-1694 missions/mission_steps global ref (drizzle/0032 seeds 3 starters) + mission_progress org-scoped (PK org/person/mission, completed_at set by reducer not user). Completion is measured crossing (isMissionComplete referenced in capability-state engine; schema comment 1631-1633). Opt-in start route only write. NO xp/streak/league/points column anywhere (grep clean); schema comment 1617-1619 cites schema-shape + banned-phrasing tests (tests/missions.test.ts). Three registrations present (missions.progressForOrg, PURGE account-deletion.ts:75, ADR 0037)."
SCORE-001,"§7.1","Frozen","AI & Recommendation Engine","Implemented","src/scoring/evaluate.ts:107-121 ratio component skipped (continue) when numerator OR denominator has zero rows; :154-156 returns null (no row) when consumed.length===0; matches CLAUDE.md scoring-engine rule."
SCORE-002,"§7.1","Baseline","AI & Recommendation Engine","Implemented","drizzle/0009_*.sql:6-16 seeds three global (org_id NULL) presets adoption/fluency/efficiency; docs/score-definitions.md:4,68,82,99 documents Adoption/Fluency/Efficiency."
SCORE-003,"§7.1","MVP","UX / UI","Implemented","src/components/companion/diagnostic-details.tsx:22 Collapsible defaultOpen={false} wraps ScoreCards; dashboard.tsx:842-848 passes the three raw ScoreCards as children; band+narrative+next step lead above via GrowthJourneyCard."
SCORE-004,"§7.1","Kill","UX / UI","Implemented","grep 'ai health' finds only (a) comments documenting the killed per-person blended number (growth-journey-card.tsx:20, diagnostic-details.tsx:17, dashboard.tsx:776) and (b) the TEAM section title ""Team AI health"" (team-overview-copy.ts:17). No blended individual 0–100 aggregate is computed or rendered on the personal self-view — scores stay per-definition (adoption/fluency/efficiency)."
SCORE-005,"§7.1","V1","AI & Recommendation Engine","Implemented","src/scoring/capability-state.ts:69-206 per-capability mastery breakdown (self-view via user_capability_state), confidenceTier defaults directional and only upgrades to measured with ≥2 bound OTel markers (:185-194); rendered by src/components/companion/capability-profile-card.tsx; the V4 'marker-level proficiency breakdown' shipped as the 9-capability decomposition of the one band."
SCORE-006,"§7.1","MVP","Reporting","Implemented","Distribution via export: maturity-csv.ts + api/maturity/export/route.ts (board-ready CSV of the 8 numbers, reuses readMaturityView). Distribution via email: the monthly exec memo (poller/exec-report.ts) carries the 8 maturity board numbers + level + trajectory + plateau. No redesign of the maturity model — it is reused verbatim."
SCORE-007,"§7.2","Principle","Data Confidence","Implemented","Three distinct lanes never blurred: (1) own past self — score trends + isNewBest (score-insights.ts); (2) org peers aggregate — usage-distribution.ts percentile()/concentration, aggregate-only (module header ln 6-10); (3) outside world — benchmarks/norms.ts:23 BENCHMARK_NORMS_VERSION=0 with 'Revealyst modeled estimate (unverified)' labels (ln 37,45,52). Cross-org k-anon gated on benchmark_consent (db/benchmark-consent.ts), not code. Verified benchmarks only render when status:'verified' (dashboard page ln 341)."
SCORE-008,"§7.3","MVP","AI & Recommendation Engine","Implemented","src/lib/recommendation-catalog.ts:49-57 InsightKind = data-hygiene/adoption/effectiveness-verification/spend/agentic-transition/early-warning/narrative/milestone-positive (matches spec §7.3 incl. the added milestone/positive); src/lib/score-insights.ts:447-453 AttentionItem.kind carries milestone/anomaly/plateau/spend/agentic-transition/recommendation."
SCORE-009,"§7.3","Kill","UX / UI","Implemented","src/lib/segments.ts:40-45 SegmentBreakdown type comment ""COUNT-ONLY IN EVERY VISIBILITY MODE ... segment membership is NEVER surfaced""; SegmentBreakdown component is imported and rendered ONLY in TeamOverview (dashboard.tsx:1214, inside the team hasScores branch); the PersonalSelfView renders no segment/personality label. segmentFor is a manager-aggregate lens only."
COACH-001,"§8.2","V1","AI & Recommendation Engine","Implemented","drizzle/0029_recommendation-catalog.sql:1-27 table with all §8.2 columns + version; seed rows carry title/body/signal_group/required_signals/benefit/difficulty/confidence/insight_kind/suggested_action_type; unique(org_id,slug,version) makes rows immutable-per-version so growing it is a reviewed PR; read via src/db/org-scope/catalog.ts."
COACH-002,"§8.2","Principle","AI & Recommendation Engine","Implemented","src/lib/recommendation-catalog.ts:74-90 discriminated-union comparator vocabulary; :142-163 evaluateRequiredSignals iterates the closed set with a fail-closed default; no LLM anywhere in selection/generation (grep clean)."
COACH-003,"§8.2","V1","Backend","Implemented","src/db/org-scope/catalog.ts:27-50 (single SELECT, global∪org, one round trip); src/lib/dashboard-view.ts:302 + :299-301 comment (catalog.list() folded into the one flat Promise.all); src/poller/digest.ts:171 + :168-170 (ONE read for the digest path); src/lib/score-insights.ts:661,698-707 (deriveAttention RECEIVES `recommendations` and evaluates candidates in memory per person — no DB); src/scoring/recompute-capability-state.ts uses missions.catalog() not recommendation catalog, and the per-person capability reducer batches all reads (tests/perf/capability-state-queries.test.ts). No per-person catalog query exists."
COACH-004,"§8.2","V1","AI & Recommendation Engine","Implemented","src/lib/recommendation-catalog.ts:227-234 UTILITY_WEIGHTS exactly matches spec (0.35/0.20/0.15/0.10/0.10, −0.05 difficulty, − fatigue); :284-313 computeUtilityBreakdown/computeUtility; src/lib/score-insights.ts:948 ranks by utility then weakest-first tie-break (output-equivalence under uniform metadata); tests/utility-ranker.test.ts exists."
COACH-005,"§8.2","V1","AI & Recommendation Engine","Implemented","src/lib/score-insights.ts:505-540 isRecEligible (role/tool overlap + fails-closed prereq gate — missing state counts as not mastered); applied at dashboard src/app/(app)/dashboard/page.tsx:627-628 and digest src/poller/digest.ts:231-241 identically, both with the forming-user safeguard (prereq gate only once ≥1 capability mastered, page.tsx:495, digest.ts:234)."
COACH-006,"§8.2","V1","UX / UI","Implemented","src/lib/score-insights.ts:969 whyLine = UTILITY_REASON[dominantUtilityTerm(breakdown)] (derived from the actual ranking term, cannot drift); :971-974 confidenceNote = `Based on ${n} connected source(s).`; src/components/companion/coaching-card.tsx:76-84 renders whyLine + confidenceNote per rec. dominantUtilityTerm/UTILITY_REASON in recommendation-catalog.ts:316-338."
COACH-007,"§8.2","V1","Testing & CI","Implemented","tests/digest-content.test.ts:231-263 pins digest is a prefix of dashboard in identical order (dashboard.slice(0,digest.length) === digest), both driving deriveAttention off the same catalog + scoreComponents; :265-320 pins identical prereq-gate exclusion on both paths. Runtime shared source confirmed: src/app/(app)/dashboard/page.tsx:603-633 and src/lib/digest-content.ts:231-262 both call deriveAttention with recommendations = scope.catalog.list() (dashboard-view.ts:302, poller/digest.ts:171) plus the same scoreComponents and eligibility context (connectedTools/masteredCapabilities/capabilityPrereqs)."
COACH-008,"§8.2","MVP","UX / UI","Implemented","src/db/schema.ts:1380-1413 suggested_action_type enum + CHECK constraint = ['link-out','in-product-setting','vendor-deep-link'] (semantic match to link-out-doc/in-product-setting/deep-link-to-vendor-settings); src/lib/recommendation-catalog.ts:42-45 SuggestedActionType type. grep confirms no 'Revealyst does X for you' / write-automation copy anywhere (the only 'Revealyst doesn't' hits are honest spend-split disclaimers)."
COACH-009,"§8.3","MVP","AI & Recommendation Engine","Implemented","src/components/companion/coaching-card.tsx:101-107 renders RecInteractionActions only when personId is present; src/app/(app)/dashboard/page.tsx:794-797 passes personId + triedRecIds on the self-view; :647-653 deriveRecInteractionView filters dismissed/snoozed upstream; a manager/team surface passes no personId so no interaction state renders."
GJ-001,"§8.4","MVP","Growth Companion","Implemented","src/components/companion/growth-journey-card.tsx:25-138 + src/app/(app)/dashboard/page.tsx:778-786; level from readMaturityView, nextStep=topNextStep (top deriveAttention recommendation from catalog), no new storage (recompute-on-read), two scales only (maturity level for org-of-one, coaching next step for person)."
GJ-002,"§8.4","MVP","Growth Companion","Implemented","src/lib/milestones.ts:105-160 detectMilestones (first-agent-session, feature-breadth, weekly-cadence, new-best extending isNewBest); rendered in-app via MilestoneCard at src/app/(app)/dashboard/page.tsx:790 (not digest-only); new-best rides isNewBest plumbing (milestones.ts:21-27)."
GJ-003,"§8.4","MVP","Growth Companion","Implemented","src/lib/milestones.ts:29-34,62,90-96,148-155 records the no-streak decision; weekly-cadence renders as count-free forgiveness narrative (MILESTONE_COPY.weeklyCadence carries no number). Also src/lib/companion-glossary.ts MILESTONE_COPY. No streak counter UI anywhere."
GJ-004,"§8.4","V1","Growth Companion","Implemented","src/components/companion/coaching-card.tsx (persistent card, always rendered dashboard:794) fed by ctx.scope.catalog.list() -> deriveAttention (dashboard:405,603-633) and rec interaction state via deriveRecInteractionView (dashboard:647-653, snooze/dismiss/tried). Deterministic from catalog + measured scores, not regenerated daily; top rec also seeds Growth Journey next step."
GJ-005,"§8.4","V1","Growth Companion","Implemented","src/components/companion/capability-profile-card.tsx (positive-first band decomposition, forming state, no raw number) rendered at dashboard:804 backed by user_capability_state via ctx.scope.mastery.forUser(ctx.user.id) (dashboard:412); self-view by construction (caller passes only signed-in user's rows)."
GJ-006,"§8.4","V1","Growth Companion","Implemented","src/components/companion/mission-card.tsx renders opt-in Start (MissionStartButton) -> 'N of M steps reached' (MISSION_COPY.stepProgress) -> grounded complete; dashboard:519-535,817 derives status from measured mastery + opt-in progress; completion is server-detected, no click-to-complete."
