id,domain,section,title,status,effort,risk,priority,requirement,evidence
DA-AUTH-004,auth,§22.1,Short-lived access + rotating refresh tokens,Adapted,M,med,P2,"Spec mandates short-lived access tokens and rotating refresh tokens.","Phase 1 keeps the prod-proven static rva1 device token (rotate on re-mint, pause=revoke) — deviation recorded as D-DA-4; rotation is an M7 hardening item."
DA-DEV-001,devices,§9.1,Device enrollment identity,New,M,low,P1,"Locally generated installationId; server-issued deviceId; device keypair at enrollment; never derive identity from hardware serials.","A device today = a connections row (authKind=device_token); enrollment endpoint + per-device metadata are new. Plan M2; device-key request signatures deferred with D-DA-4."
DA-DEV-002,devices,§9.2,Multiple devices per user merge into one timeline,Modify,M,med,P1,"One user enrolls many devices; cloud merges all device events into one user timeline.","Multiple connections rows anticipated (src/db/schema/connections.ts comment); merge = same person via identity resolution; dual-source/day-MAX semantics from P0 fix (rowsForSubjects) apply — verified in plan M4 tests."
DA-DEV-003,devices,§24.2,Device list/rename/revoke UI + heartbeat,New,M,low,P1,"Settings surface listing enrolled devices with rename/revoke; device heartbeat endpoint.","poll_heartbeats is org-level (not per-device); revoke path exists (pause connection → 403). Plan M2/M4."
DA-ATTR-001,attribution,§10,Attribution to the Revealyst user; provider identity secondary,Exists,S,low,P1,"Activity attributed to the authenticated Revealyst user + installation; shared provider logins on different devices stay separately attributed.","Device token binds org+connection; person attribution ladder (src/contracts/attribution.ts); acceptance §27.5 satisfied structurally."
DA-ATTR-002,attribution,§10.3,Ambiguous shared-session marking,New,M,med,P2,"Same computer + OS account + Revealyst session shared by multiple people → mark ambiguous, never guess.","No equivalent today; maps to declared-shared-device flag → account-level attribution or honesty gap. Plan M5; needs contract mapping in the M5 ADR."
DA-CONN-001,connectors,§11.1,Rust SourceConnector trait with detect/permissions/checkpoint/collect/health/disconnect,New,M,low,P1,"Connector runtime with explicit states incl. unsupported_version fallback (never partial-parse an unknown format).","New Rust; state machine mirrors the CLI's honesty-gap discipline. Plan M3/M5."
DA-CONN-002,connectors,§11.3.1,Claude Code connector against validated local surfaces only,Modify,M,med,P1,"Implement only against confirmed local data surfaces; unsupported format → unsupported_version.","Reference: packages/revealyst-agent/src/parse.ts (allowlist projection, fixtures under packages/revealyst-agent/tests). Rust port + fixture parity. Plan M5."
DA-CONN-003,connectors,§11.3.2,Claude export importer (hardened),New,M,med,P2,"User-initiated import: validate archive, reject path traversal, enforce count/size limits, parse locally, convert to privacy mode, queue, delete temp files, show counts; raw conversation text never uploaded in Analytics Only.","Nothing similar exists (drag-drop log upload categorically rejected — Spec V4 §10; importer is agent-local, satisfying the no-raw-upload kill). Plan M5 + security tests."
DA-CONN-004,connectors,§11.3.3,Process presence disabled by default,Adapted,S,low,P3,"Process presence only as coverage diagnostics, never capability evidence; default off.","Not built in Phase 1 (research R2 rejected process/app monitoring); listed Future."
DA-FEAT-001,features,§7.2,Prompt-like content only in-process; discarded before queue persistence,Gated,M,high,P1,"Feature extractors may access prompt-like content only inside the local process; in Analytics Only it must be discarded before persistence.","Shape-only reads shipped (content_block_type sent:false). Reading prompt TEXT on-device is D-DA-5 (gap analysis C8); M3 ships shape+counts only."
DA-FEAT-002,features,§7.3,Bounded feature output (LocalPromptFeatures),Gated,M,med,P2,"Task category / workflow type / complexity band / prompt-structure booleans emitted as bounded enums+numbers with classifier version+confidence.","New CANONICAL_METRICS keys + allowlist rows = frozen-contract ADR (gap C9); classifier over prompt text gated on D-DA-5."
DA-FEAT-003,features,§7.4,Deterministic local heuristics; never a cloud LLM call,Exists,S,low,P1,"Classification is deterministic, transparent, local; no cloud LLM calls from the agent in Analytics Only mode.","Constraint honored by design; no LLM dependency in the agent. CI-testable (dependency audit)."
DA-EVT-001,events,§12,Event schema & payload contract,Adapted,M,med,P1,"Normalized activity events with contentMode + privacy flags; Analytics Only payload allowlist + prohibited-fields list.","Phase 1 keeps day-aggregate AgentIngestRequest (gap C3 / D-DA-3); local queue is event-granular, sync aggregates; prohibited-fields enforced by the agent's payload validator + server dim guards."
DA-STOR-001,storage,§13.1,Encrypted SQLite for non-secret state; secrets only in OS storage,New,M,med,P1,"agent.db (SQLCipher): installation/connector state, checkpoints, pending events, receipts, config/policy caches, diagnostics, update state.","New Rust storage layer. Plan M3."
DA-STOR-002,storage,§13.2,Queue-before-checkpoint; duplicates over data loss,Exists,S,low,P1,"Events commit to the queue before checkpoints advance; crash duplicates acceptable because server dedups.","Server side already idempotent (natural-key upsert + delete-window, src/db/org-scope/metrics.ts); agent-side ordering is an M3 test."
DA-STOR-003,storage,§13.3,Retention defaults incl. never-persist raw text,New,S,low,P1,"Pending events 30d; receipts 30d; checkpoints until reset; diag logs 7d; temp imports deleted immediately; raw text never persisted in Analytics Only.","M3 privacy tests pin the never-persist rule."
DA-SYNC-001,sync,§14,At-least-once + server idempotency + batch limits + retry taxonomy,Exists,M,low,P1,"At-least-once delivery; 250-event/1MB batches; gzip; retry 408/425/429/5xx with backoff+jitter; never blind-retry 400/401/403/409/413/422.","Server idempotency shipped (content-addressed); client retry engine is new Rust but the contract exists (agentIngestRequestSchema). Plan M4."
DA-SYNC-002,sync,§26.2/§27.3,Partial batch acceptance,Adapted,S,low,P2,"Partial acceptance works on oversized/partially-invalid batches.","ingestAgentBatch is transactional all-or-nothing; satisfied by client-side batch splitting on 413/422 (gap C7); acceptance test asserts the real mechanism."
DA-DEDUP-001,dedup,§15,Deterministic dedup priority + fingerprint,Exists,S,low,P1,"Dedup via stable IDs then deterministic fingerprint; title/first-prompt alone never a key.","Day-aggregate natural key + delete-window restatement is the shipped dedup; OTel/desktop cross-channel handled by distinct metric keys (ADR 0039 precedent); sub-case-C ADR covers dual-source person dedup."
DA-PRIV-001,privacy,§16.1,Most-restrictive policy precedence,New,M,med,P1,"Effective policy = min(platform hard limits, org policy, user policy, connector capability).","New agent-side policy engine. Plan M3."
DA-PRIV-002,privacy,§16.2,Remote config can never broaden collection silently,New,M,high,P1,"Config may restrict; broadening (mode upgrades) requires explicit user/admin authorization out-of-band of config.","Plan M4 signed-config design + privacy tests §26.1; mirrors research §5.6 'new founder decision, not incremental widening'."
DA-PRIV-003,privacy,§16.3,Local enforcement before queue persistence + quarantine,New,M,med,P1,"Privacy flags contradicting active policy → quarantine, never upload (e.g. analytics_only + rawPromptIncluded:true).","New payload validator in Rust. Plan M3."
DA-CFG-001,config,§17,Signed remote config with expiry + restrictive defaults,New,M,med,P1,"Ed25519-signed config (version, expiry, min agent version, connector enablement, intervals, channel); on invalid signature keep last valid unexpired; else restrictive built-ins.","No remote-config service exists; new GET /api/desktop/config + a NEW signing key (never the credential KEK). Plan M4."
DA-UPD-001,updates,§18,Signed Tauri updater + channels + staged rollout + halt,New,L,high,P1,"Official Tauri updater; internal/beta/stable channels; deterministic cohort hash(installationId+releaseId) 5→25→50→100%; halt + mandatory-update support; queue survives updates.","Nothing exists; first GitHub-Release artifact workflow in the repo. Plan M6."
DA-UI-001,ui,§19,Tray menu + onboarding + status + privacy screens,New,M,low,P1,"Tray menu (status/last sync/open/pause/updates/diagnostics/quit); 5-screen onboarding; status screen incl. coverage limitations; privacy screen incl. what leaves/never leaves the device, pause, delete pending, disconnect.","New React UI; 'what leaves the device' MUST render from the allowlist bridge (never hand-written copy — W3-N). Plan M1/M3/M5."
DA-UI-002,ui,§19.2,Honest unsupported-source disclosure,Modify,S,low,P1,"Claude Desktop shown as installed but 'detailed conversation sync is not available in Phase 1'; never claim complete Claude Desktop coverage.","scope-claims registry pattern exists (src/connectors/scope-claims.ts); add desktop entries. Plan M5."
DA-STATE-001,state,§20,Agent state model with precedence,New,S,low,P2,"10-state AgentState with fixed precedence; healthy ≠ all activity captured.","New agent-side. Plan M1/M4."
DA-PERF-001,performance,§21,Performance targets measured before stable,New,M,med,P2,"<40MB installed; <80MB idle RAM; <0.5% idle CPU; <3% active CPU; <3s to tray; <500ms warm window; <1MB/day idle network — measured in CI or internal beta.","Plan M7; perf harness new."
DA-SEC-001,security,§22,Mandatory security controls,New,L,high,P1,"Signed binaries/updates/config; notarization; encrypted queue; OS secret storage; strict Tauri capabilities; no unrestricted shell/fs; no remote script loading; dependency+secret scanning; tamper-resistant update verification.","Plan M1 (capabilities/CSP), M3 (queue), M4 (config), M6 (signing), CI (audits)."
DA-SEC-002,security,§22.2/§22.3,Frontend isolation + strict CSP,New,S,low,P1,"UI accesses fs/shell/credentials/network/db/updates only via narrowly scoped Rust commands; CSP self-only, no remote scripts.","Tauri capability files + CSP in tauri.conf.json; capability audit in desktop CI. Plan M1."
DA-DIAG-001,diagnostics,§23,Secret-free logs + explicit-action diagnostic bundle,New,M,low,P2,"Logs carry no prompt/response/tokens/keys/cookies/file/clipboard content; bundle requires explicit user action and excludes activity payloads by default.","New POST /api/desktop/diagnostics (counts/status only, invariant b). Plan M4; log-scrub tests M3."
DA-API-001,backend,§24,Backend API surface,Modify,M,med,P1,"Auth start/exchange/refresh/revoke; device CRUD+revoke+heartbeat; ingestion batches+capabilities; config/policy; update manifest; diagnostics.","Mapped onto existing routes where live (ingest = /api/agent/ingest; revoke = pause) + new /api/desktop/* endpoints (gap C6). Plan M2/M4/M6."
DA-CI-001,ci,§25.1,Desktop PR checks without signing secrets,New,M,med,P1,"fmt/clippy/cargo test; TS lint/typecheck/tests; connector fixtures; schema-compat; privacy-mode + Analytics Only payload tests; Tauri capability audit; dependency+secret scan; unsigned macOS+Windows builds — PR workflows never see signing secrets.","New desktop-ci.yml, path-filtered; root CI untouched except tsconfig exclude. Plan M0/M1."
DA-CI-002,ci,§25.2,Protected release workflow,New,M,high,P1,"Tag → test → build → sign → notarize → verify → checksums → signed update manifest → internal → beta → staged stable.","New release-desktop.yml with a protected GitHub Environment (first in repo); founder must create env + certs (external, fire ASAP — rule 5). Plan M6."
DA-TEST-001,testing,§26,Privacy/sync/platform/security test matrix,New,L,med,P1,"Full §26 matrix incl. malicious deep link, PKCE mismatch, replay, tampered manifest/config, path traversal, db tampering, command authorization, injection.","Plan M2–M7; privacy tests are merge-blocking from M3 onward."
DA-DONE-001,acceptance,§27/§30,Phase-1 definition of done,New,L,med,P1,"All §27 acceptance criteria + §30 definition-of-done items hold before stable rollout.","Plan §3 exit gates map 1:1; founder-judged evidence pack via /gate-check convention."
DA-GOV-001,governance,V4 §9.4,Sub-case-C ADR before any Team-org desktop surface,Gated,M,high,P1,"Desktop data from an opted-in Team-org member feeds only that person's private self-view until an ADR lands exclusion-audit predicate + dual-source dedup + surfaced-not-billed.","ADR does not exist (0001–0043 checked). Gap C2 / D-DA-2; Personal-org slice ships first."
DA-GOV-002,governance,V4 §16 OQ-6,Resident-collector go/no-go,Gated,S,high,P1,"SYNC-007/TEL-017 demoted the resident collector pending cadence telemetry; building the Desktop Agent requires an explicit founder green-light.","Gap C1 / D-DA-1; no binary ships before sign-off; only the M0–M1 non-collecting foundation may proceed (repo enablement + app shell)."
DA-GOV-003,governance,rule 7,Phase-1 scope inside every existing tripwire,Exists,S,low,P1,"No extension/proxy, no MDM, no raw log upload, no keystroke/clipboard/screen capture, no network interception, no provider credentials, content-free by shape.","Spec §2.3/§29 match NOT-002/003/009 + PRIV-008 + research R2 verbatim; tripwire-guard.mjs patterns unaffected by Tauri deps (verified)."
